id,olsera_product_id,parent_id,parent_name,name,sku,category,brand_name,klasifikasi,price,buy_price,stock,image_url,description,published,pos_hidden,has_variant,is_variant,variant_name,variant_sku,variant_stock,variant_price
63117020,63117020,114400434,LIQUID FREEBASE PODA X RUBYGANG BEQU LIGHTS V2 MANGO PEACH 60ML,LIQUID FREEBASE PODA X RUBYGANG BEQU LIGHTS V2 MANGO PEACH 60ML - 3MG,2804260022,Others,,NP FREEBASE,130000,110000,1,,,1,0,1,YES,3MG,2804260022,1,130000
63117018,63117018,114400432,LIQUID FREEBASE IDJ BLONDIES V3 BLUEBERRY CHEESE CREAM BAKE 60ML,LIQUID FREEBASE IDJ BLONDIES V3 BLUEBERRY CHEESE CREAM BAKE 60ML - 6MG,2804260020,Others,,NP FREEBASE,150000,127500,1,,,1,0,1,YES,6MG,2804260020,1,150000
63117017,63117017,114400431,LIQUID PODS FRIENDLY SQJ X JVS OAT DRIPS V5 OAT MILK CHOCOLATE LEGACY 30ML,LIQUID PODS FRIENDLY SQJ X JVS OAT DRIPS V5 OAT MILK CHOCOLATE LEGACY 30ML - 15MG,2804260019,Others,,NP PODS FRIENDLY,110000,87500,1,,,1,0,1,YES,15MG,2804260019,1,110000
63117016,63117016,114400430,LIQUID SALTNIC PODA BEQU STRAWBERRY 30ML,LIQUID SALTNIC PODA BEQU STRAWBERRY 30ML - 30MG,2804260018,Others,,NP SALTNIC,110000,87500,1,,,1,0,1,YES,30MG,2804260018,1,110000
63117015,63117015,114400429,LIQUID SALTNIC PODA BEQU HONEYDEW 30ML,LIQUID SALTNIC PODA BEQU HONEYDEW 30ML - 30MG,2804260017,Others,,NP SALTNIC,110000,87500,1,,,1,0,1,YES,30MG,2804260017,1,110000
63117014,63117014,114400428,LIQUID SALTNIC MOVE JUICE ICELANDS STRAWBERRY 30ML,LIQUID SALTNIC MOVE JUICE ICELANDS STRAWBERRY 30ML - 30MG,2804260016,Others,,NP SALTNIC,100000,77500,1,,,1,0,1,YES,30MG,2804260016,1,100000
63117013,63117013,114400427,LIQUID SALTNIC FLOOID FOOM X VAPOR MANIA DRINK SERIES SUNSET GLORY PINEAPPLE KIWI 30ML,LIQUID SALTNIC FLOOID FOOM X VAPOR MANIA DRINK SERIES SUNSET GLORY PINEAPPLE KIWI 30ML - 30MG,2804260015,Others,,NP SALTNIC,110000,86500,1,,,1,0,1,YES,30MG,2804260015,1,110000
63117012,63117012,114400426,LIQUID SALTNIC FOOM X BOY WILLIAM SARSAPARILLA 30ML,LIQUID SALTNIC FOOM X BOY WILLIAM SARSAPARILLA 30ML - 30MG,2804260014,Others,,NP SALTNIC,110000,86500,1,,,1,0,1,YES,30MG,2804260014,1,110000
63117011,63117011,114400425,LIQUID SALTNIC FOOM X VSS PROJECT CITY SERIES LONDON TARO ICE CREAM 30ML,LIQUID SALTNIC FOOM X VSS PROJECT CITY SERIES LONDON TARO ICE CREAM 30ML - 30MG,2804260013,Others,,NP SALTNIC,110000,86500,0,,,1,0,1,YES,30MG,2804260013,0,110000
63117010,63117010,114400424,LIQUID SALTNIC FOOM CHOCOLATE ICE CREAM 30ML,LIQUID SALTNIC FOOM CHOCOLATE ICE CREAM 30ML - 30MG,2804260012,Others,,NP SALTNIC,110000,86500,1,,,1,0,1,YES,30MG,2804260012,1,110000
63117009,63117009,114400423,LIQUID SALTNIC FOOM ICY MINT 30ML,LIQUID SALTNIC FOOM ICY MINT 30ML - 30MG,2804260011,Others,,NP SALTNIC,110000,86500,1,,,1,0,1,YES,30MG,2804260011,1,110000
114400422,114400422,114400422,POD FOOM X BLACK BUNDLING LIQUID 15ML,POD FOOM X BLACK BUNDLING LIQUID 15ML,2804260010,Others,,POD,200000,165000,1,,,1,0,0,NO,,,0,0
114400421,114400421,114400421,POD FOOM X WILD PURPLE,POD FOOM X WILD PURPLE,2804260009,Others,,POD,170000,145000,1,,,1,0,0,NO,,,0,0
114400420,114400420,114400420,POD FOOM X SEASIDE SERIES DEEP BLUE,POD FOOM X SEASIDE SERIES DEEP BLUE,2804260008,Others,,POD,170000,145000,1,,,1,0,0,NO,,,0,0
114400419,114400419,114400419,POD FOOM X BRILLIANT GOLD,POD FOOM X BRILLIANT GOLD,2804260007,Others,,POD,170000,145000,1,,,1,0,0,NO,,,0,0
114400418,114400418,114400418,POD FOOM X ABSOLUTE BLACK,POD FOOM X ABSOLUTE BLACK,2804260006,Others,,POD,170000,145000,1,,,1,0,0,NO,,,0,0
114400417,114400417,114400417,POD VAPORESSO XROS 5 MINI LEATHER RETRO ORANGE BUNDLING 15ML,POD VAPORESSO XROS 5 MINI LEATHER RETRO ORANGE BUNDLING 15ML,2804260005,Others,,POD,215000,165000,1,,,1,0,0,NO,,,0,0
